,attention -> next-week abnormal volume,attention -> next-week return,attention (reversal-controlled) -> return,momentum (last-week return) -> return,GNN forecast -> same-week abnormal volume,GNN forecast -> same-week return
2022-09-23,-0.11763191763191765,-0.19922779922779926,-0.11763191763191765,0.14234234234234233,-0.43333333333333335,0.2833333333333333
2022-09-30,0.09858429858429861,-0.2676962676962677,-0.2761904761904762,-0.10990990990990991,-0.16666666666666669,-0.16666666666666669
2022-10-07,-0.042728442728442735,0.036036036036036036,0.03835263835263836,-0.019819819819819822,0.5166666666666667,-0.09999999999999999
2022-10-14,0.030630630630630633,-0.22239382239382238,-0.20180180180180182,-0.2658944658944659,-0.016666666666666666,-0.09999999999999999
2022-10-21,0.1868725868725869,-0.4164736164736165,-0.43037323037323044,0.08108108108108109,0.33333333333333337,-0.5499999999999999
2022-10-28,-0.1003861003861004,-0.025997425997425997,0.025997425997425997,0.0906048906048906,-0.19999999999999998,-0.13333333333333333
2022-11-04,0.016473616473616476,-0.07722007722007723,-0.12277992277992279,-0.17683397683397684,0.5333333333333333,0.3
2022-11-11,0.10604890604890606,-0.22084942084942086,-0.2947232947232947,-0.20952380952380953,0.7333333333333334,0.18333333333333335
2022-11-18,0.09240669240669241,0.007207207207207207,-0.022393822393822396,0.07773487773487774,0.16666666666666669,-0.7666666666666667
2022-11-25,-0.013899613899613899,0.04581724581724582,0.02625482625482626,-0.1510939510939511,-0.18333333333333335,0.5499999999999999
2022-12-02,-0.22676962676962678,0.03423423423423424,0.049678249678249686,0.04453024453024454,0.48333333333333334,-0.26666666666666666
2022-12-09,-0.17683397683397684,-0.18841698841698845,-0.2885456885456885,0.3935649935649936,-0.03333333333333333,0.19999999999999998
2022-12-16,0.1861003861003861,-0.021621621621621623,-0.07541827541827544,0.677992277992278,0.35,0.33333333333333337
2022-12-23,-0.07824967824967825,-0.0061776061776061784,0.019819819819819822,-0.009266409266409266,0.5166666666666667,0.6333333333333333
2022-12-30,0.043243243243243246,0.20797940797940798,0.17812097812097816,0.2622908622908623,0.38333333333333336,-0.3
2023-01-06,-0.17271557271557272,0.43166023166023165,0.4386100386100386,0.03835263835263836,,
2023-01-13,-0.14468864468864467,-0.03296703296703297,-0.004273504273504274,0.1927927927927928,,
2023-01-20,-0.13919413919413917,-0.45238095238095233,-0.45238095238095233,0.24736164736164734,,
2023-01-27,-0.27472527472527475,0.30830280830280826,0.28083028083028083,0.3472329472329473,,
2023-02-03,-0.22527472527472528,-0.0006105006105006105,-0.01282051282051282,-0.32895752895752894,,
2023-02-10,0.10866910866910866,0.0293040293040293,0.033577533577533576,-0.010296010296010296,,
2023-02-17,0.03663003663003663,0.0231990231990232,0.06593406593406594,0.10424710424710425,,
2023-02-24,-0.3559218559218559,0.12576312576312576,0.1514041514041514,-0.21776061776061778,,
