a,b,distance,peak_corr,theme
Azure,Copper,5,0.19126968774249617,ai-buildout
Azure,Uranium,5,0.07257195308585689,ai-buildout
Azure,Tesla,4,0.07417679755032978,ai-buildout
AWS,Google Cloud,2,0.2464869676484889,ai-buildout
AWS,CoreWeave,2,0.08953734855167254,ai-buildout
AWS,Oracle,2,0.12144985894216268,ai-buildout
AWS,Vertiv,2,0.07895342114271951,ai-buildout
AWS,Nuclear power,2,0.09674603719302766,ai-buildout
AWS,SMR,3,0.09343354210927399,ai-buildout
AWS,Natural gas,2,0.07416240827954117,ai-buildout
AWS,Constellation,2,0.052516493738344466,ai-buildout
AWS,NextEra,2,0.08937177317170916,ai-buildout
AWS,Vistra,2,0.09783081073087982,ai-buildout
AWS,GE Vernova,2,-0.017726031774421207,ai-buildout
AWS,Electrical grid,2,0.18632024550282913,ai-buildout
AWS,Transformer (device),3,0.17103256451280668,ai-buildout
AWS,Quanta Services,3,0.06504693414057608,ai-buildout
AWS,Eaton,3,0.12022540302272573,ai-buildout
AWS,Copper,3,0.19474949951604867,ai-buildout
AWS,Uranium,3,0.0735514111274155,ai-buildout
AWS,Tesla,4,0.061731008368167396,ai-buildout
Google Cloud,CoreWeave,2,0.08382132863179714,ai-buildout
Google Cloud,Oracle,2,0.0962259656833592,ai-buildout
Google Cloud,Vertiv,2,0.06624538820745897,ai-buildout
Google Cloud,Nuclear power,2,0.07489913763048273,ai-buildout
Google Cloud,SMR,3,0.07471745137736935,ai-buildout
Google Cloud,Natural gas,2,0.1606278080134365,ai-buildout
Google Cloud,Constellation,2,0.03852707845075623,ai-buildout
Google Cloud,NextEra,2,0.08284726759226432,ai-buildout
Google Cloud,Vistra,2,0.06897679527355513,ai-buildout
Google Cloud,GE Vernova,2,0.07292052595059371,ai-buildout
Google Cloud,Electrical grid,2,0.05107970938575342,ai-buildout
Google Cloud,Transformer (device),3,0.15603038842517208,ai-buildout
Google Cloud,Quanta Services,3,0.04936029606258272,ai-buildout
Google Cloud,Eaton,3,0.13934896351043644,ai-buildout
Google Cloud,Copper,3,0.1508928244290125,ai-buildout
Google Cloud,Uranium,3,0.07168441601134524,ai-buildout
Google Cloud,Tesla,4,0.20530074277169055,ai-buildout
CoreWeave,Oracle,2,0.0925788804998581,ai-buildout
CoreWeave,Vertiv,2,0.02091162993639641,ai-buildout
CoreWeave,Nuclear power,2,0.1707700940550033,ai-buildout
CoreWeave,SMR,3,0.15846867060583775,ai-buildout
CoreWeave,Natural gas,2,0.09987393687471544,ai-buildout
CoreWeave,Constellation,2,0.22041788298029863,ai-buildout
CoreWeave,NextEra,2,0.026247292788493415,ai-buildout
CoreWeave,Vistra,2,0.10476458796021179,ai-buildout
CoreWeave,GE Vernova,2,0.051324259053957516,ai-buildout
CoreWeave,Electrical grid,2,0.19575727066784354,ai-buildout
CoreWeave,Transformer (device),3,0.07148240832547857,ai-buildout
CoreWeave,Quanta Services,3,0.07743477681376347,ai-buildout
CoreWeave,Eaton,3,0.05306939489136117,ai-buildout
CoreWeave,Copper,3,0.18461071226036993,ai-buildout
CoreWeave,Uranium,3,0.13181285184764827,ai-buildout
CoreWeave,Tesla,4,0.11943176424632411,ai-buildout
Oracle,Vertiv,2,0.1274281327112861,ai-buildout
Oracle,Nuclear power,2,0.13146681560874438,ai-buildout
Oracle,SMR,3,0.07912780425627174,ai-buildout
Oracle,Natural gas,2,0.1812582803984178,ai-buildout
Oracle,Constellation,2,0.09762643048066103,ai-buildout
Oracle,NextEra,2,0.03316711413758989,ai-buildout
Oracle,Vistra,2,0.14934420948395802,ai-buildout
Oracle,GE Vernova,2,0.06611215010342837,ai-buildout
Oracle,Electrical grid,2,0.1030787306507224,ai-buildout
Oracle,Transformer (device),3,0.08183571562429752,ai-buildout
Oracle,Quanta Services,3,0.07095628478330529,ai-buildout
Oracle,Eaton,3,0.08194008516337087,ai-buildout
Oracle,Copper,3,0.14058142267395413,ai-buildout
Oracle,Uranium,3,0.11205227342636348,ai-buildout
Oracle,Tesla,4,0.13635856731368481,ai-buildout
Vertiv,Nuclear power,2,0.029588925004071388,ai-buildout
Vertiv,SMR,3,0.1084956157672786,ai-buildout
Vertiv,Natural gas,2,0.06502568785551653,ai-buildout
